v_shot,timestamp,shot,offline_club_speed,offline_smash_factor,offline_attack_angle,offline_club_path,offline_launch_angle,offline_horizontal_launch_angle,offline_face_angle,offline_spin_rate,offline_spin_axis,offline_back_spin,offline_side_spin,offline_carry_distance,offline_total_distance,offline_side,offline_side_total,offline_apex,pb_club_speed_mph,pb_ball_speed_mph,pb_smash_factor,pb_club_path_deg,pb_horizontal_launch_angle_deg,pb_face_angle_deg,pb_spin_rate_rpm,pb_spin_axis_deg,pb_total_distance_yards,pb_side_yards,pb_side_total_yards,pb_apex_yards,last tracked range,remaining carry,last tracked frame,launch angle,pb_pitch,pb_roll,pb_rf_temp,pb_dig_temp,pb_radar_freq,adc_ch1_nf,adc_ch2_nf,adc_ch3_nf,adc_ch4_nf,adc ch1 trigger nf,adc ch2 trigger nf,adc ch3 trigger nf,adc ch4 trigger nf,adc_ch1_sig,adc_ch2_sig,adc_ch3_sig,adc_ch4_sig,trigger_tx_power,flight_tx_power,flight_lna_gain,flight_pga_gain,uptime_s,rf_serial_number,pb_attack_angle_deg,offline_ball_speed,pb_carry_distance_yards,pb_launch_angle_deg,club
0,1623941343,0,91.643,1.301,-4.134,-3.223,10.795,-0.56,-1.824,5718.85,9.302,5643.648,924.385,170.476,175.782,8.754,7.078,16.585,91.643,119.236,1.301,-2.592,-0.56,-1.964,5366.119,9.18,176.261,7.69,6.014,16.335,170.476,0,184,10.795,10.886,0.229,44.562,51.92,24.154,59.055,60.89,62.265,60.145,60.026,60.646,61.137,60.617,94.76,97.027,96.825,95.853,10,20,3,0,2537,1089370001,-4.134,119.237,170.667,10.795,11
1,1623941601,1,89.607,1.366,-5.071,-1.167,11.179,1,-0.758,5201.898,0.05,5201.896,4.572,174.421,180.18,1.546,3.121,21.075,89.607,122.429,1.366,-0.101,1,0.504,5177.301,1.367,176.313,-0.251,-1.826,21.042,174.421,0,194,11.179,11.001,0.401,44.875,51.92,24.154,59.606,60.722,62.207,60.469,61.378,61.966,62.768,62.019,97.084,98.188,104.3,101.006,10,20,3,0,2792,1089370001,-5.071,122.429,170.689,11.179,11
2,1623941760,2,91.643,1.404,-3.097,-3.671,11.28,-5.31,-4.215,5451.721,1.43,5450.022,136.091,183.962,189.729,-9.665,-8.486,26.434,91.643,128.681,1.404,-2.957,-5.31,-4.922,4401.492,0.909,191.221,-8.829,-7.65,25.115,183.962,0,203,11.28,11.058,0.401,45.188,52.29,24.154,59.502,60.765,62.287,60.355,60.862,61.667,62.352,61.009,104.737,104.717,103.984,101.735,10,20,3,0,2952,1089370001,-3.097,128.681,184.35,11.28,11
3,1623941873,3,89.607,1.458,-5.472,5.078,11.019,5.927,6.069,5172.533,-10.803,5080.865,-969.489,185.842,192.085,0.365,1.18,23.25,89.607,130.65,1.458,-0.094,5.927,0.235,4923.721,2.296,192.37,6.92,7.735,22.97,185.842,0,197,11.019,11.001,0.344,45.375,52.536,24.154,59.374,60.85,62.162,60.376,60.711,61.306,62.263,61.164,93.529,96.509,100.817,97.112,10,20,3,0,3065,1089370001,-5.472,130.65,185.767,11.019,11
4,1623941969,4,91.643,1.449,-5.346,-1.796,14.966,-1.835,-2.039,4628.162,-3.351,4620.249,-270.522,190.386,196.208,-12.994,-12.842,28.802,91.643,132.757,1.449,-1.959,-1.835,-2.6,5355.323,1.058,195.93,-13.224,-13.052,29.54,190.386,0,207,14.966,11.115,0.344,45.5,52.905,24.154,59.563,60.42,62.314,60.029,60.548,60.842,62.022,60.919,99.347,99.668,98.964,96.56,10,20,3,0,3161,1089370001,-5.346,132.757,190.906,14.966,11
5,1623942043,5,89.607,1.384,-4.845,-0.433,11.535,2.212,0.03,5107.815,2.62,5102.477,233.446,171.82,177.455,7.087,7.439,23.244,89.607,123.996,1.384,1.562,2.212,0.18,4978.278,3.013,177.594,8.135,8.486,23.1,171.82,0,196,11.535,11.058,0.401,45.625,52.782,24.154,58.798,62.309,61.464,61.366,60.662,61.089,62.376,61.158,104.369,106.024,105.784,100.389,10,20,3,0,3234,1089370001,-4.845,123.996,171.855,11.535,11
6,1623942139,6,89.607,1.394,-3.275,-5.063,9.079,-11.909,-8.691,5182.431,-3.279,5173.948,-296.408,158.907,164.976,-38.932,-34.236,14.257,89.607,124.916,1.394,,-11.909,-9.187,4475.551,-4.273,163.379,-32.254,-28.364,12.532,18.42,140.487,122,9.079,11.001,0.458,45.688,52.905,24.154,59.296,60.059,62.226,60.497,60.333,61.097,61.925,61.259,86.439,87.901,90.137,85.09,10,20,3,0,3331,1089370001,-3.275,124.916,156.772,9.079,11
9,1623942435,9,91.643,1.423,-5.395,4.174,12.806,3.665,4.375,5326.356,-0.332,5326.267,-30.859,187.129,192.658,13.952,14.547,27.734,91.643,130.451,1.423,1.669,3.665,-0.003,4378.918,7.935,192.837,15.119,15.841,26.983,187.129,0,204,12.806,11.058,0.458,46.25,53.397,24.154,60.085,60.641,62.403,60.344,60.544,60.835,62.377,61.165,101.233,101.604,100.136,94.451,10,20,3,0,3627,1089370001,-5.395,130.451,186.381,12.806,11
10,1623942587,10,79.424,1.177,-4.192,0.859,23.438,0.893,-0.171,7517.76,0.187,7517.72,24.543,117.388,118.322,-0.61,0.371,23.303,79.424,93.478,1.177,0.786,0.893,-0.251,7644.507,-1.558,118.208,-0.753,0.228,23.333,117.388,0,187,23.438,11.001,0.401,46.438,53.643,24.154,59.652,60.331,62.554,60.142,60.754,61.492,61.894,60.883,105.227,105.299,105.345,104.801,10,20,3,0,3779,1089370001,-4.192,93.478,117.356,23.438,22
11,1623942683,11,73.315,1.188,-6.158,0.964,19.942,0.175,-0.046,7452.97,-1.588,7450.109,-206.496,103.552,104.607,-4.395,-5.743,15.738,73.315,87.067,1.188,-0.776,0.175,-0.398,7087.69,-1.478,104.918,-4.296,-5.644,15.666,103.552,0,172,19.942,11.001,0.458,46.562,53.766,24.154,59.966,60.055,62.355,59.605,61.601,62.393,63.2,61.716,109.45,110.543,110.152,108.653,10,20,3,0,3875,1089370001,-6.158,87.067,103.645,19.942,22
