v_shot,timestamp,shot,offline_club_speed,offline_smash_factor,offline_attack_angle,offline_club_path,offline_launch_angle,offline_horizontal_launch_angle,offline_face_angle,offline_spin_rate,offline_spin_axis,offline_back_spin,offline_side_spin,offline_carry_distance,offline_total_distance,offline_side,offline_side_total,offline_apex,pb_club_speed_mph,pb_ball_speed_mph,pb_smash_factor,pb_club_path_deg,pb_horizontal_launch_angle_deg,pb_face_angle_deg,pb_spin_rate_rpm,pb_spin_axis_deg,pb_total_distance_yards,pb_side_yards,pb_side_total_yards,pb_apex_yards,last tracked range,remaining carry,last tracked frame,launch angle,pb_pitch,pb_roll,pb_rf_temp,pb_dig_temp,pb_radar_freq,adc_ch1_nf,adc_ch2_nf,adc_ch3_nf,adc_ch4_nf,adc ch1 trigger nf,adc ch2 trigger nf,adc ch3 trigger nf,adc ch4 trigger nf,adc_ch1_sig,adc_ch2_sig,adc_ch3_sig,adc_ch4_sig,trigger_tx_power,flight_tx_power,flight_lna_gain,flight_pga_gain,uptime_s,rf_serial_number,pb_attack_angle_deg,offline_ball_speed,pb_carry_distance_yards,pb_launch_angle_deg,club
0,1623941344,0,89.607,1.334,-2.943,-3.813,11.969,-2.079,-5.622,5077.978,7.609,5033.268,672.366,171.163,176.727,6.492,7.633,17.039,89.607,119.56,1.334,-1.857,-2.079,-3.493,5076.074,5.426,176.416,4.583,5.724,17.145,139.276,31.887,183,11.969,10.141,0,45.438,54.258,24.148,61.002,61.552,62.673,59.646,61.013,61.24,61.9,60.288,97.519,97.859,96.393,96.249,10,20,3,0,1573,1090420033,-2.943,119.56,170.916,11.969,11
1,1623941602,1,89.607,1.383,-3.709,-1.079,10.679,0.389,-1.337,5201.898,0.158,5201.878,14.318,174.771,180.758,-0.204,0.769,21.429,89.607,123.903,1.383,-1.024,0.389,-1.309,5188.026,-1.66,180.777,-1.569,-0.595,21.478,174.771,0,193,10.679,10.141,0,45.875,54.258,24.148,60.877,61.631,62.411,60.038,61.363,61.687,61.84,60.605,97.971,100.31,103.237,99.263,10,20,3,0,1828,1090420033,-3.709,123.903,174.826,10.679,11
2,1623941761,2,91.643,1.408,-5.298,-3.675,11.757,-5.426,-4.164,5631.689,2.144,5627.746,210.694,183.928,189.341,-12.882,-11.577,26.791,91.643,129.006,1.408,-1.814,-5.426,-3.356,4304.437,2.083,189.245,-12.925,-11.614,25.667,183.928,0,203,11.757,10.256,0,46.188,54.75,24.148,60.723,61.418,62.48,59.532,61.708,61.681,62.105,60.783,106.267,103.731,103.706,97.731,10,20,3,0,1988,1090420033,-5.298,129.006,182.518,11.757,11
3,1623941874,3,87.57,1.494,-4.995,6.006,10.842,5.55,5.464,5271.383,-11.113,5172.543,-1016.012,184.17,190.304,-0.68,0.809,24.707,87.57,130.851,1.494,-0.624,5.55,0.033,4827.629,2.588,194.507,8.581,7.091,24.347,156.009,28.161,192,10.842,10.084,0,46.312,54.873,24.148,60.822,61.52,62.462,59.857,61.504,61.803,61.899,60.645,93.479,95.3,99.891,97.558,10,20,3,0,2101,1090420033,-4.995,130.85,187.784,10.842,11
4,1623941970,4,95.716,1.378,-3.89,-1.016,15.04,-2.774,-1.159,4291.175,-1.944,4288.706,-145.534,189.129,195.28,-12.379,-11.914,28.989,95.716,131.891,1.378,-1.679,-2.774,-1.603,5263.59,1.855,194.756,-12.344,-11.883,29.919,189.129,0,206,15.04,10.084,0,46.5,55.12,24.148,60.511,61.139,62.217,59.76,61.264,61.384,61.929,60.47,95.653,97.025,93.494,93.114,10,20,3,0,2196,1090420033,-3.89,131.891,189.659,15.04,11
5,1623942044,5,89.607,1.387,-3.73,0.873,13.86,2.207,0.165,5016.725,-1.609,5014.747,-140.876,174.541,179.799,4.358,4.764,23.654,89.607,124.32,1.387,2.686,2.207,1.521,5124.356,2.079,179.26,6.156,6.563,23.787,174.541,0,197,13.86,10.141,0,46.562,55.12,24.148,61.732,62.097,62.567,59.841,60.576,61.103,61.589,60.032,100.791,101.489,99.441,95.603,10,20,3,0,2270,1090420033,-3.73,124.32,174.21,13.86,11
8,1623942315,8,87.57,1.5,-3.243,6.086,10.188,7.654,5.837,4766.242,-5.008,4748.048,-416.057,186.429,193.45,19.114,21.454,24.027,87.57,131.352,1.5,1.519,7.654,1.117,4923.802,6.578,193.053,21.681,24.361,23.988,142.706,43.723,181,10.188,10.141,0,46.938,55.489,24.148,61.117,61.649,61.501,59.682,61.545,61.185,61.139,60.39,90.008,90.886,98.045,95.907,10,20,3,0,2542,1090420033,-3.243,131.352,186.084,10.188,11
9,1623942436,9,91.643,1.398,-3.845,-1.227,15.575,2.689,1.779,5993.249,7.718,5938.955,804.892,188.562,192.747,14.727,13.894,29.155,91.643,128.154,1.398,0.422,2.689,1.345,5256.106,8.51,192.892,12.417,11.474,28.565,188.562,0,205,15.575,10.141,0,47.188,55.612,24.148,62.031,62.647,62.218,59.179,60.915,61.875,61.522,60.313,94.236,93.875,90.896,91.523,10,20,3,0,2663,1090420033,-3.845,128.155,187.962,15.575,11
10,1623942588,10,79.424,1.154,-6.352,0.873,23.665,0.108,-0.085,7716.917,-0.314,7716.8,-42.353,117.014,117.8,-2.272,-4.093,23.428,79.424,91.679,1.154,0.697,0.108,-0.723,7378.204,-1.869,118.117,-2.336,-4.157,23.356,117.014,0,188,23.665,10.141,0,47.438,55.981,24.148,61.11,60.822,62.098,59.972,62.143,62.324,62.361,61.161,107.77,106.948,107.07,102.921,10,20,3,0,2815,1090420033,-6.352,91.679,117.104,23.665,22
11,1623942684,11,73.315,1.199,-6.812,0.205,19.744,-1.078,-0.469,7172.626,0.253,7172.556,31.626,104.084,105.325,-7.092,-6.897,15.835,73.315,87.888,1.199,-4.21,-1.078,-1.156,6889.657,4.173,105.579,-6.91,-6.715,15.772,104.084,0,171,19.744,10.199,0.057,47.562,56.104,24.148,60.386,61.484,61.778,59.948,60.581,61.089,60.754,59.719,105.807,107.232,103.387,104.252,10,20,3,0,2911,1090420033,-6.812,87.888,104.161,19.744,22
