v_shot,timestamp,shot,offline_club_speed,offline_smash_factor,offline_attack_angle,offline_club_path,offline_launch_angle,offline_horizontal_launch_angle,offline_face_angle,offline_spin_rate,offline_spin_axis,offline_back_spin,offline_side_spin,offline_carry_distance,offline_total_distance,offline_side,offline_side_total,offline_apex,pb_club_speed_mph,pb_ball_speed_mph,pb_smash_factor,pb_club_path_deg,pb_horizontal_launch_angle_deg,pb_face_angle_deg,pb_spin_rate_rpm,pb_spin_axis_deg,pb_total_distance_yards,pb_side_yards,pb_side_total_yards,pb_apex_yards,last tracked range,remaining carry,last tracked frame,launch angle,pb_pitch,pb_roll,pb_rf_temp,pb_dig_temp,pb_radar_freq,adc_ch1_nf,adc_ch2_nf,adc_ch3_nf,adc_ch4_nf,adc ch1 trigger nf,adc ch2 trigger nf,adc ch3 trigger nf,adc ch4 trigger nf,adc_ch1_sig,adc_ch2_sig,adc_ch3_sig,adc_ch4_sig,trigger_tx_power,flight_tx_power,flight_lna_gain,flight_pga_gain,uptime_s,rf_serial_number,pb_attack_angle_deg,offline_ball_speed,pb_carry_distance_yards,pb_launch_angle_deg,club
1,1620362299,0,89.607,1.332,-4.69,-3.122,10.895,-1.046,-2.246,5218.018,7.859,5169.011,713.464,173.027,178.818,4.909,6.039,17.576,89.607,119.32,1.332,-2.95,-1.114,-1.797,5283.489,7.074,179.993,5.455,6.584,17.622,143.892,29.135,185,10.895,9.969,0.229,44.812,53.028,24.142,59.88,60.606,64.074,61.757,60.666,61.052,62.759,61.269,94.421,93.235,96.375,95.667,10,20,3,0,2070,1089370011,-4.69,119.393,174.219,10.895,11
2,1620362557,1,89.607,1.371,-4.728,-1.059,10.897,0.489,-1.337,5201.898,0.392,5201.776,35.626,175.681,181.571,2.726,0.891,22.164,89.607,122.818,1.371,-0.805,0.489,-1.287,5177.301,3.254,182.612,2.339,0.505,22.103,145.47,30.21,191,10.897,9.912,0.286,45.25,53.274,24.142,59.898,60.579,63.952,61.678,61.326,62.135,63.697,62.599,98.92,100.348,105.616,103.145,10,20,3,0,2325,1089370011,-4.728,122.818,176.637,10.897,11
3,1620362716,2,91.643,1.412,-5.19,-3.539,11.781,-5.873,-4.205,5067.59,4.274,5053.496,377.682,184.052,190.052,-12.316,-10.221,26.472,91.643,129.405,1.412,-1.527,-5.873,-4.073,4304.437,2.295,190.272,-12.922,-10.715,26.045,161.733,22.319,203,11.781,9.969,0.172,45.5,53.766,24.142,59.881,60.324,64.192,61.537,61.584,61.88,63.486,62.01,103.214,104.162,102.901,98.402,10,20,3,0,2484,1089370011,-5.19,129.404,183.516,11.781,11
4,1620362829,3,87.57,1.499,-5.022,6.233,10.714,6.217,5.716,4766.242,-9.026,4707.226,-747.72,187.294,194.117,2.497,0.791,24.415,87.57,131.263,1.499,0.091,6.217,0.235,4905.77,6.505,192.103,12.953,11.29,24.134,160.812,26.482,195,10.714,10.084,0.229,45.625,53.52,24.142,60.003,60.086,64.637,61.488,61.096,61.454,63.269,61.93,95.803,97.067,103.215,99.718,10,20,3,0,2598,1089370011,-5.022,131.263,185.357,10.714,11
5,1620362925,4,93.68,1.407,-2.712,-1.256,15.58,-1.871,-2.039,4341.965,-3.332,4334.625,-252.345,190.818,196.84,-10.932,-9.042,29.832,93.68,131.819,1.407,-1.959,-1.871,-2.6,5227.926,1.543,195.274,-11.403,-9.426,30.723,171.46,19.358,209,15.58,10.027,0.229,45.75,53.643,24.142,60.039,60.319,64.303,61.601,60.813,61.083,63.759,61.77,97.898,99.045,93.075,96.222,10,20,3,0,2693,1089370011,-2.712,131.82,190.238,15.58,11
6,1620362999,5,91.643,1.362,-5.127,1.024,13.836,2.391,-0.043,5526.191,-0.123,5526.178,-11.911,175.767,180.597,7.648,8.961,24.563,91.643,124.829,1.362,2.399,2.391,0.529,4553.536,3.122,179.225,8.443,9.756,23.715,175.767,0,199,13.836,10.084,0.229,45.812,54.012,24.142,59.888,60.503,64.301,61.708,60.97,60.868,63.242,61.387,102.62,102.857,100.809,97.628,10,20,3,0,2767,1089370011,-5.127,124.829,173.625,13.836,11
7,1620363096,6,91.643,1.364,-4.809,-4.903,9.447,-12.725,-8.691,5533.162,-8.164,5477.082,-785.782,164.698,170.473,-47.576,-43.155,14.609,91.643,125.017,1.364,,-12.725,-8.917,4568.531,-6.399,168.225,-44.234,-40.124,13.493,135.025,29.673,177,9.447,9.969,0.172,45.875,53.889,24.142,59.709,60.265,64.081,61.654,60.71,61.284,63.664,61.747,89.825,89.829,92.034,88.4,10,20,3,0,2864,1089370011,-4.809,125.017,161.67,9.447,11
8,1620363391,9,91.643,1.398,-5.12,3.67,15.679,3.402,3.617,5902.026,-1.2,5900.732,-123.556,187.551,191.824,13.833,13.203,29.653,91.643,128.119,1.398,0.534,3.402,0.793,5256.106,7.846,192.397,13.883,13.256,29.031,187.551,0,204,15.679,10.084,0.229,46.312,54.381,24.142,60.005,60.768,63.686,61.612,60.812,61.028,62.534,61.786,94.959,95.73,92.758,93.727,10,20,3,0,3160,1089370011,-5.12,128.118,187.504,15.679,11
9,1620363543,10,77.388,1.209,-6.398,1.045,24.457,0.66,-0.193,7375.944,-0.704,7375.388,-90.58,118.052,119.034,-1.233,-0.393,23.776,77.388,93.57,1.209,0.73,0.66,-0.551,7616.981,0.299,118.818,-1.29,-0.449,23.804,118.052,0,189,24.457,10.027,0.229,46.5,54.381,24.142,59.571,60.362,63.995,60.992,62.32,62.788,64.141,62.727,108.256,107.672,106.517,104.939,10,20,3,0,3312,1089370011,-6.398,93.57,117.998,24.457,22
10,1620363639,11,73.315,1.187,-5.715,0.28,20.211,-0.341,-0.365,7452.97,-2.537,7445.666,-329.874,104.704,105.755,-5.821,-7.042,15.988,73.315,87.031,1.187,-0.777,-0.341,-0.54,7097.678,-3.28,106.045,-5.801,-7.022,15.911,104.704,0,172,20.211,10.027,0.286,46.625,54.504,24.142,59.397,60.611,63.563,61.215,60.635,61.054,62.512,60.923,106.637,106.643,102.945,105.174,10,20,3,0,3407,1089370011,-5.715,87.031,104.782,20.211,22
11,1620363737,12,83.497,1.18,-5.023,0.145,24.689,0.683,-0.253,8105.896,-0.123,8105.877,-17.363,125.572,126.083,-2.812,-1.239,27.352,83.497,98.552,1.18,1.019,0.683,-0.801,7944.84,-2.764,126.249,-3.293,-1.72,27.312,125.572,0,194,24.689,10.084,0.229,46.75,54.996,24.142,59.718,60.274,63.541,61.34,61.156,61.699,62.943,62.05,105.806,103.741,103.568,105.436,10,20,3,0,3505,1089370011,-5.023,98.552,125.618,24.689,22
12,1620363812,13,71.278,1.184,-7.528,0.622,22.822,2.332,0.556,7559.462,-1.838,7555.573,-242.457,104.556,105.393,5.124,3.312,17.503,71.278,84.412,1.184,0.819,2.332,0.681,6515.739,-1.201,105.198,5.024,3.212,17.299,104.556,0,174,22.822,10.084,0.344,46.812,54.873,24.142,59.849,60.124,63.677,61.214,60.671,60.634,62.313,61.081,105.264,104.53,108.024,106.946,10,20,3,0,3580,1089370011,-9999,84.412,103.75,22.822,22
13,1620363905,14,77.388,1.2,-5.277,0.525,22.493,-0.625,-0.257,7578.443,1.352,7576.333,178.803,118.673,119.63,-5.085,-4.478,21.071,77.388,92.903,1.2,-0.357,-0.625,-0.47,7263.276,-1.46,119.931,-5.205,-4.598,21,118.673,0,183,22.493,10.141,0.229,46.938,54.873,24.142,59.654,60.238,63.823,61.038,60.826,61.251,62.63,61.821,104.257,102.985,106.28,104.374,10,20,3,0,3673,1089370011,-5.277,92.903,118.761,22.493,22
14,1620364049,15,40.73,1.133,-10.274,-2.298,19.991,-0.652,-0.513,6998.113,-3.354,6986.126,-409.41,35.696,36.152,-0.609,-1.881,4.303,-9999,46.129,1.133,-2.122,-0.652,-0.493,7134.1,-2.783,36.111,-0.597,-1.87,4.305,35.696,0,132,19.991,9.912,0.344,47.188,55.12,24.142,59.935,60.144,63.61,61.714,60.887,61.112,62.425,61.653,115.549,116.033,114.32,115.198,10,20,3,0,3817,1089370011,-9999,46.129,35.683,19.991,22
15,1620364110,16,36.657,1.224,-11.031,2.922,20.068,9.635,5.385,7510.012,-10.115,7393.277,-1318.991,33.097,33.455,4.874,6.857,3.837,-9999,44.873,1.224,0.05,9.635,0.854,7250.811,0.55,33.423,5.21,7.193,3.817,33.097,0,129,20.068,9.912,0.344,47.25,55.366,24.142,59.767,60.023,63.563,61.578,60.753,60.933,62.37,61.265,113.649,113.831,113.07,116.565,10,20,3,0,3878,1089370011,-9999,44.873,32.972,20.068,22
16,1620364658,20,107.935,1.461,3.828,-4.855,8.359,-3.522,-2.823,2579.643,-3.243,2575.513,-145.918,256.652,270.833,-14.138,-11.724,21.57,107.935,157.686,1.461,-2.788,-3.522,-3.068,2650.812,-3.144,268.204,-16.517,-13.667,21.668,179.831,76.822,178,8.359,10.084,0.286,47.375,55.489,24.142,59.263,60.089,63.585,61.08,61.691,61.646,63.898,62.344,89.009,88.59,91.326,87.863,10,20,3,0,4426,1089370011,-9999,157.686,254.244,8.359,1
17,1620364743,21,107.935,1.484,1.217,-4.199,9.78,-1.682,-0.977,2493.421,3.425,2488.967,148.966,249.506,262.332,0.319,-0.388,22.137,107.935,160.213,1.484,-2.826,-1.672,-1.028,2421.978,-0.098,260.197,-4.311,-3.604,22.221,194.403,55.103,188,9.78,10.199,0.344,47.438,55.612,24.142,59.657,60.234,63.709,60.816,61.413,61.586,63.607,61.566,96.59,96.676,91.733,93.815,10,20,3,0,4511,1089370011,1.217,160.213,247.375,9.78,1
