Device ID,Shot Time,Club,Apex,Apex (GCQ),Attack Angle,Attack Angle (GCQ),Backspin,Backspin (GCQ),Ball Speed,Ball Speed (GCQ),Carry,Carry (GCQ),Club Path,Club Path (GCQ),Club Speed,Club Speed (GCQ),Face Angle,Face Angle (GCQ),Hor Launch Angle,Hor Launch Angle (GCQ),Launch Angle,Launch Angle (GCQ),Side Spin,Side Spin (GCQ),Side Total,Side Total (GCQ),Side Yards,Side Yards (GCQ),Smash Factor,Smash Factor (GCQ),Spin Axis,Spin Axis (GCQ),Spin Rate,Spin Rate (GCQ),Total,Total (GCQ)
FS58D50AA838B7,2021-06-23 13:09:37,7i,95,,-2.4,,5209,,132.9,,181.6,,0,,93.7,,-2.9,,-5.2,,14.9,,-265,,-14.9,,17.8L,,1.42,,-2.9,,5215,,186.6,
FS58D50AA838B7,2021-06-23 13:10:06,7i,86,,-4.3,,5310,,126.9,,181.7,,0.3,,97.8,,-1.9,,-1.9,,14.8,,667,,8.6,,6.6R,,1.3,,7.2,,5352,,186.5,
FS58D50AA838B7,2021-06-23 13:10:27,7i,96,,-5.2,,4847,,134.7,,194.5,,-0.4,,93.7,,-2.7,,-4.3,,14.4,,-392,,-18.5,,21.2L,,1.44,,-4.6,,4863,,200.3,
FS58D50AA838B7,2021-06-23 13:10:52,7i,70,,-4.7,,4883,,131.1,,186.7,,-3.8,,97.8,,-5,,-6.1,,10.5,,-238,,-21.6,,20.5L,,1.34,,-2.8,,4888,,193.4,
FS58D50AA838B7,2021-06-23 13:11:13,7i,90,,-4.4,,4608,,132.6,,191.7,,-0.2,,93.7,,-2.7,,-4.5,,13.4,,-691,,-23.3,,27.3L,,1.42,,-8.5,,4659,,197.8,
FS58D50AA838B7,2021-06-23 13:11:52,1W,43,,1.9,,2343,,167.8,,252.1,,0.9,,112,,-1.8,,-2.5,,7.9,,-504,,-28.4,,29.8L,,1.5,,-12.1,,2397,,266.8,
FS58D50AA838B7,2021-06-23 13:12:12,1W,92,,1.8,,2865,,162.3,,290.4,,-1,,105.9,,3,,3.8,,10.3,,871,,30.4,,32.6R,,---,,16.9,,2994,,304.1,
FS58D50AA838B7,2021-06-23 13:12:32,1W,112,,---,,3152,,175.4,,310.2,,-1.2,,116.1,,1.6,,3.4,,9.8,,357,,27,,26.9R,,1.51,,6.5,,3172,,324.9,
FS58D50AA838B7,2021-06-23 13:12:56,1W,73,,0.2,,2667,,167,,272,,0.9,,116.1,,-0.4,,-0.1,,7.6,,468,,9.4,,10.9R,,1.44,,9.9,,2708,,287.6,
FS58D50AA838B7,2021-06-23 13:13:17,1W,115,,---,,3250,,167.5,,314.6,,-0.8,,105.9,,1.1,,2.2,,11.6,,-228,,3.8,,1.9R,,---,,-4,,3258,,328.1,
FS58D50AA838B7,2021-06-23 13:14:28,52,106,,-5.8,,6807,,95.1,,130.5,,-2.4,,85.5,,-0.6,,-1.2,,30.4,,587,,5.5,,5.8R,,1.11,,4.9,,6832,,131.8,
FS58D50AA838B7,2021-06-23 13:14:50,52,95,,-4.5,,6779,,98.3,,135.9,,-4.7,,79.4,,-3.5,,-2.1,,25.7,,857,,-0.3,,2.0L,,1.24,,7.2,,6833,,137.5,
FS58D50AA838B7,2021-06-23 13:15:09,52,106,,-4.3,,6628,,88.7,,116,,1.9,,85.5,,-0.8,,-0.8,,36.2,,840,,-0.8,,1.0R,,1.04,,7.2,,6681,,117.2,
FS58D50AA838B7,2021-06-23 13:15:39,52,110,,-5,,7065,,97.5,,132.6,,-3.7,,83.5,,-3.2,,-2.3,,30.6,,901,,2.7,,1.6R,,1.17,,7.3,,7122,,133.7,
FS58D50AA838B7,2021-06-23 13:16:00,52,117,,-3.8,,7705,,97.7,,135.4,,1,,85.5,,-0.9,,-0.2,,31.8,,554,,5.6,,4.9R,,1.14,,4.1,,7725,,136,
FS58D50AA9657F,2021-06-23 13:30:06,7i,95,,-4.6,,5758,,122.7,,178.6,,0.8,,91.6,,-0.7,,-0.3,,16.3,,1193,,13.4,,12.1R,,1.34,,11.7,,5880,,182.6,
FS58D50AA9657F,2021-06-23 13:30:33,7i,97,,-5.1,,5365,,127.6,,192.1,,0.7,,93.7,,-0.8,,-0.9,,16.1,,503,,5.8,,4.6R,,1.36,,5.4,,5389,,196.9,
FS58D50AA9657F,2021-06-23 13:30:52,7i,89,,-4.8,,5394,,127.3,,180.9,,0,,91.6,,-2.4,,-3.4,,14.5,,-366,,-10,,9.6L,,1.39,,-3.9,,5407,,185.7,
FS58D50AA9657F,2021-06-23 13:31:10,7i,86,,-4.6,,6964,,113,,155.5,,0.7,,91.6,,-0.8,,-1.1,,18.2,,-354,,-6.8,,6.8L,,1.23,,-2.9,,6973,,157.7,
FS58D50AA9657F,2021-06-23 13:31:28,7i,42,,-3.6,,5550,,123.4,,168.4,,-3.6,,93.7,,-3.2,,-3.6,,9.1,,-259,,-9.3,,10.1L,,1.32,,-2.7,,5556,,174.5,
